age,wrkclsgrp,edugrp,maritalgrp,occ,rel,racegrp,sex,capgain,caploss,hr,countrygrp,y
25.0,Private,1M,NotMarried,Machine-op-inspct,Own-child,Black,Male,0.0,0.0,40.0,US,<=50K
38.0,Private,2HS,Married,Farming-fishing,Husband,White,Male,0.0,0.0,50.0,US,<=50K
28.0,Gov,3C,Married,Protective-serv,Husband,White,Male,0.0,0.0,40.0,US,>50K
44.0,Private,3C,Married,Machine-op-inspct,Husband,Black,Male,7688.0,0.0,40.0,US,>50K
18.0,,3C,NotMarried,,Own-child,White,Female,0.0,0.0,30.0,US,<=50K
34.0,Private,1M,NotMarried,Other-service,Not-in-family,White,Male,0.0,0.0,30.0,US,<=50K
29.0,,2HS,NotMarried,,Unmarried,Black,Male,0.0,0.0,40.0,US,<=50K
63.0,Self-emp,5MA,Married,Prof-specialty,Husband,White,Male,3103.0,0.0,32.0,US,>50K
24.0,Private,3C,NotMarried,Other-service,Unmarried,White,Female,0.0,0.0,40.0,US,<=50K
55.0,Private,1M,Married,Craft-repair,Husband,White,Male,0.0,0.0,10.0,US,<=50K
65.0,Private,2HS,Married,Machine-op-inspct,Husband,White,Male,6418.0,0.0,40.0,US,>50K
36.0,Gov,4BA,Married,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,US,<=50K
26.0,Private,2HS,NotMarried,Adm-clerical,Not-in-family,White,Female,0.0,0.0,39.0,US,<=50K
58.0,,2HS,Married,,Husband,White,Male,0.0,0.0,35.0,US,<=50K
48.0,Private,2HS,Married,Machine-op-inspct,Husband,White,Male,3103.0,0.0,48.0,US,>50K
43.0,Private,5MA,Married,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,US,>50K
20.0,Gov,3C,NotMarried,Other-service,Own-child,White,Male,0.0,0.0,25.0,US,<=50K
43.0,Private,2HS,Married,Adm-clerical,Wife,White,Female,0.0,0.0,30.0,US,<=50K
37.0,Private,2HS,Widowed,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,20.0,US,<=50K
40.0,Private,6PHD,Married,Prof-specialty,Husband,Other,Male,0.0,0.0,45.0,,>50K
34.0,Private,4BA,Married,Tech-support,Husband,White,Male,0.0,0.0,47.0,US,>50K
34.0,Private,3C,NotMarried,Other-service,Own-child,Black,Female,0.0,0.0,35.0,US,<=50K
72.0,,1M,Divorced,,Not-in-family,White,Female,0.0,0.0,6.0,US,<=50K
25.0,Private,4BA,NotMarried,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43.0,Amer,<=50K
25.0,Private,4BA,Married,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,US,<=50K
45.0,Self-emp,2HS,Married,Craft-repair,Husband,White,Male,7298.0,0.0,90.0,US,>50K
22.0,Private,2HS,NotMarried,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,US,<=50K
23.0,Private,2HS,Separated,Machine-op-inspct,Unmarried,Black,Male,0.0,0.0,54.0,US,<=50K
54.0,Private,2HS,Married,Craft-repair,Husband,White,Male,0.0,0.0,35.0,US,<=50K
32.0,Self-emp,3C,NotMarried,Prof-specialty,Not-in-family,White,Male,0.0,0.0,60.0,US,<=50K
46.0,Gov,3C,Married,Exec-managerial,Husband,Black,Male,7688.0,0.0,38.0,US,>50K
56.0,Self-emp,1M,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,50.0,US,<=50K
24.0,Self-emp,4BA,NotMarried,Sales,Not-in-family,White,Male,0.0,0.0,50.0,US,<=50K
23.0,Gov,3C,Married,Protective-serv,Husband,White,Male,0.0,0.0,40.0,US,<=50K
26.0,Private,2HS,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,US,<=50K
65.0,,2HS,Married,,Husband,White,Male,0.0,0.0,40.0,US,<=50K
36.0,Gov,4BA,Married,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,US,>50K
22.0,Private,1M,NotMarried,Priv-house-serv,Not-in-family,White,Male,0.0,0.0,50.0,Amer,<=50K
17.0,Private,1M,NotMarried,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,US,<=50K
20.0,Private,2HS,NotMarried,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,US,<=50K
65.0,Private,5MA,Married,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,US,>50K
44.0,Self-emp,3C,Married,Sales,Husband,White,Male,0.0,0.0,45.0,US,>50K
36.0,Private,2HS,Married,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,US,<=50K
29.0,Private,1M,Married,Other-service,Husband,White,Male,0.0,0.0,40.0,US,<=50K
20.0,Gov,3C,NotMarried,Farming-fishing,Own-child,White,Male,0.0,0.0,32.0,US,<=50K
28.0,Private,3C,Married,Prof-specialty,Wife,White,Female,0.0,0.0,36.0,US,>50K
39.0,Private,1M,Married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Amer,<=50K
54.0,Private,3C,Married,Transport-moving,Husband,White,Male,3908.0,0.0,50.0,US,<=50K
52.0,Private,1M,Separated,Priv-house-serv,Not-in-family,Black,Female,0.0,0.0,18.0,US,<=50K
56.0,Self-emp,2HS,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,US,<=50K
