,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"TBone(25,488)
🇫🇮Pori, Finland
2.7June 22, 2018
Bottle 330ml. Dark brown colour, small beige head. Aroma is toasted and ashy. Light-bodied. Toasted, quite ashy, light licorice. Very watery.
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
2
Overall
10",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
1,"TBone(25,488)
🇫🇮Pori, Finland
2.7June 22, 2018
Bottle 330ml. Dark brown colour, small beige head. Aroma is toasted and ashy. Light-bodied. Toasted, quite ashy, light licorice. Very watery.
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
2
Overall
10",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
2,"florent.janssens(398)
2.8June 19, 2018
Mousse brune qui retombe vite. Un peu floteuse pour un stout. L�g�re amertume avec un l�ger gout de caf�. Pas assez prononc�.
Aroma
5
Appearance
2
Flavor
7
Mouthfeel
2
Overall
12",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
3,"florent.janssens(398)
2.8June 19, 2018
Mousse brune qui retombe vite. Un peu floteuse pour un stout. L�g�re amertume avec un l�ger gout de caf�. Pas assez prononc�.
Aroma
5
Appearance
2
Flavor
7
Mouthfeel
2
Overall
12",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
4,"WVHouseofBeer(1,152)
🇺🇸United States
3.4May 27, 2018
This is pretty much everything I look for in the style. The only thing missing was the super creamy body and head but otherwise it has the smooth and somewhat light roasted…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
14",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
5,"WVHouseofBeer(1,152)
🇺🇸United States
3.4May 27, 2018
This is pretty much everything I look for in the style. The only thing missing was the super creamy body and head but otherwise it has the smooth and somewhat light roasted…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
14",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
6,"sanjp(9)
4.1March 10, 2018
대한민국에서 (아직까진) 제일 잘 만들어진 스타우트라고 생각 됨. 특유의 커피향과 단맛의 조화가 좋음. 다만 아쉬운게 하나 있는데, 스타우트지만 도수는 낮게 만들고 알콜취를 섞어 스타우트의 맛은 잃지 않았지만 무게…
Show more
Aroma
8
Appearance
4
Flavor
10
Mouthfeel
2
Overall
17",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
7,"sanjp(9)
4.1March 10, 2018
대한민국에서 (아직까진) 제일 잘 만들어진 스타우트라고 생각 됨. 특유의 커피향과 단맛의 조화가 좋음. 다만 아쉬운게 하나 있는데, 스타우트지만 도수는 낮게 만들고 알콜취를 섞어 스타우트의 맛은 잃지 않았지만 무게…
Show more
Aroma
8
Appearance
4
Flavor
10
Mouthfeel
2
Overall
17",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
8,"yy0pp(1,664)
3.2October 8, 2017
Bottle. Clear brown color with offwhite head. Aroma - R-malt, coffee, toffee, caramel. Taste - Lightly bitter, light sweetness, milkchoc, toffee, licorice, dark fruit.
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
9,"yy0pp(1,664)
3.2October 8, 2017
Bottle. Clear brown color with offwhite head. Aroma - R-malt, coffee, toffee, caramel. Taste - Lightly bitter, light sweetness, milkchoc, toffee, licorice, dark fruit.
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",ARK Black Swan,ARK Black Swan,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Stout - Dry / Irish,4.5%,35 IBU,3.22,"ARK Black Swan is an Irish Stout with both roasted and light malty notes that gives a smooth, drinkable beer with coffee-like flavor, and a creamy mouthfeel. Lose yourself in Black Swan.",135 cal per 355ml
