,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"HighSparkDiesel(687)
🇹🇼Taipei City, Taiwan
2.5September 8, 2018
A bottle from Jason's, near NCCU. Aroma: citrus, unwashed socks. Appearance: hazy light amber, 3mm. foam. Palate: medium-bodied and slick, fizzy carbonation, very astringent…
Show more
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
1,"TBone(25,488)
🇫🇮Pori, Finland
3.0July 4, 2018
Bottled 355ml from Korea…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
2,"WVHouseofBeer(1,152)
🇺🇸United States
3.3May 7, 2018
This is actually a really good beer. Nice American hop presence in the aroma and likewise with the flavors. Finish is light and refreshing yet with just a hint of hops. Pours the typical semi…
Show more
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
3,"sanjp(9)
3.8March 10, 2018
대한민국 수제맥주. 열대과일과 탄상의 양, 씁쓸한 맛과 향의풍미가 일품이지만 한국 술 특유의 알콜취는 어쩔 수 없나보다. 그것을 좋아하는 사람도 많겠지만.
Aroma
9
Appearance
5
Flavor
5
Mouthfeel
4
Overall
15",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
4,"yy0pp(1,664)
3.1October 8, 2017
On tap. Almost clear golden color with white head. Aroma - Lemon, grass, grapefruit peel. Taste - Light sweetness, lemon peel, malt, biscuits, pine.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
5,"peony(7)
🇰🇷South Korea
4.5June 14, 2017
golden color, very good citrus and fruit aroma. clean and crisp, perfect for Summer days.
Aroma
10
Appearance
4
Flavor
9
Mouthfeel
4
Overall
18",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
6,"colui72(4,004)
🇭🇰Yuen Long, Hong Kong
4.0June 4, 2017
Hay straw colour, soapy white head and round lacing. Rich aroma, citrus, honey, floral, spices, peach. Taste gets ale malts, peach, citrus, spices, honey, caramel. Medium bitterness,…
Show more
Aroma
9
Appearance
3
Flavor
9
Mouthfeel
3
Overall
16",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
7,"invinoveritas(156)
🇬🇧England
3.9December 6, 2016
Nice label. Pours a pale yellow with an impressive head. Rich stone fruit nose that is invitingly bitter without being astringent. An explosion of lemon, malt, sherbet, viognier on the tongue,…
Show more
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
15",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
8,"kermis(18,395)
🇳🇱Amsterdam-ish, Netherlands
3.4October 12, 2016
Bottle shared at Brew Beers & Ciders Sukhumvit, Bangkok. Clear golden with a white head. Aroma of fruity hops, citrus, grapefruit and grassy notes. Flavour is light sweet and light…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
9,"jmgreenuk(17,138)
🇲🇾Kuala Lumpur, Malaysia
3.2October 10, 2016
Bottle at Brew Beers and Ciders, Sukhumvit, Bangkok. Poured a hazy straw colour with a frothy white head. The aroma is lager malt, light hop, some dry yeast. The flavour is moderate bitter…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
4
Overall
13",ARK Cosmic Dancer,ARK Cosmic Dancer,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,5.5%,20 IBU,3.46,"Cosmic Dancer brewed with a blend of fresh fruity hops. A bright, crisp, golden ale with tropical and citrusy notes. Dancer your self into the cosmos!",165 cal per 355ml
