,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"fiery1(4,477)
🇨🇦Vancouver, Canada
3.4February 14, 2020
330ml can @ Matt's. Pours an opaque dark brown colour with a small tan head. Nose is moderate toasted malt, some earthy notes. Flavour is intense roasted malt, a touch of cocoa with…
Show more
CAN
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
4
Overall
13",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
1,"Oakes(27,870)
🇨🇦Richmond, Canada
3.8February 29, 2020
Dark brown, big plum fruity nose, soft, sweet and very fruity.  Raisins and plums and black sugar...this really comes across more like old ale meets foreign stout than an imperial stout, b…
Show more
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
2,"mcberko(36,657)
🇨🇦Vancouver, Canada
3.6February 14, 2020
330mL can, pours black with a small tan head. Aroma brings out gentle barley malt, with very dry cocoa, and some earthy notes. Flavour is very dry, with lots of roasted malt, a hint of…
Show more
CAN
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
15",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
3,"Ferris(23,108)
🇨🇦Burnaby, Canada
3.5August 28, 2019
Intense dark roast and some coffee notes.  Jet black with a small beige head. Molasses and dark roast with a bone dry finish and bitterness.  Bold.
TAP
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
4,"douglas88(12,575)
🇺🇸Portland, United States
3.9July 10, 2019
On tap at the brewery. Pours a pitch black color with a medium beige head. A big roast and cocoa nose. Rich, fairly dry, heavy roast, licorice, cocoa. Very smooth.  Great.
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
3
Overall
16",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
5,"Thisis12ptfont(2,955)
🇺🇸Los Angeles, CA, United States
3.8December 22, 2018
Aroma
Dark roast coffee beans espresso peanut butter 
Taste…
Show more
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
4
Overall
16",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
6,"WVHouseofBeer(1,152)
🇺🇸United States
3.8May 22, 2018
This is actually one of the best Korean beers I've had. It's not a complex Imperial Stout but the flavors and aromas are very good. Nice notes of coffee, dark chocolate and maybe a little…
Show more
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
7,"TimE(8,459)
🇯🇵Tokyo, Japan
3.8May 12, 2018
pitch black color. Big espresso notes with some molasses and dark fruit. Low carbonation big espresso notes with molasses and surprisingly citrus character. Smooth, alcohol well hidden…
Show more
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
8,"Tide(8,855)
🇫🇮Helsinki, Finland
3.6October 6, 2017
Draught at Amazing Brewing Seoul. Black color, beige head. Bitter taste with roasted malts, nuts, vanilla, chocolate, coffee and a bit of dark fruits. Bitter finish with roasted malts, nuts,…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
15",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
9,"sweet_curryqueen(1)
🇰🇷seoul, South Korea
5.0September 11, 2017
It....it's amazing. just like the brewery name.
Strong coffee/chocolate-like taste+little hop flavor+but rich…
Show more
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
5
Overall
20",Amazing Shocking Stout,Amazing Shocking Stout,Amazing Brewing Company,"🇰🇷 Seoul, South Korea",Stout - Imperial,8.5%,55 IBU,3.79,It is brewed directly here and so is Shocking Stout accompanied by a strong coffee flavor and aroma of chocolate. The beer that brings the joy of cocoa flavor and soft vanilla.,255 cal per 355ml
