,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"TrappistRates36(112)
🇳🇿RANGIORA, New Zealand
2.5July 2, 2022
Dark copper red beer , with a big tan coloured head  ... rich toasty malt aroma ... thin bodied beer , crisp , tangy , a little roasted  malt ... a cheap quaffer .... $ 3 discount 330 ml bottle…
Show more
BOTTLE
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
2
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
1,"ttoadee(3,478)
🇺🇸Austin, United States
3.2July 1, 2022
Dark pour with amber edges, tan head leaves quickly.  Nose is roasted grain and chocolate.  Middle is thin coffee, dark kilned malt, bakers chocolate.  Finish is smooth, but somewhat thin.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
2,"stantheman(2,051)
🇨🇦Canada
2.9December 6, 2020
A small bottle from Legacy Liquor in Vancouver.
A black beer with modest white head, roasted malt nose, roasted malt palate. An acceptable run o’ the mill dark lager.
BOTTLE
Aroma
5
Appearance
5
Flavor
6
Mouthfeel
3
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
3,"TomHendriksen(5,621)
🇳🇱Netherlands
2.6June 2, 2020
Blik geprobeerd op vakantie. Het is een donkerbruin bier met een wat rode gloed en een stevig beige schuim. Het heeft een moutige geur. De smaak is moutig, licht bitter en wat wrang.
CAN
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
4,"fellers(30)
🇦🇺Canberra, Australia
3.3February 7, 2020
Maybe the most accessible dark lager on the market. Price trends a little too high for what I think it's worth but tastes appropriately dark and appearance is equally dark. Personally,…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
5,"mkel07(9,946)
🇦🇺Brisbane, Australia
3.7February 6, 2020
Beer Number From Brewery: 3

Container Type: Bottle…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
3
Overall
16",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
6,"craigeroo(60)
2.2October 6, 2019
Pours: very dark caramel. Not a lot of head at all carbonation: very light
Nose: very mild chocolate and caramel on the,…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
7,"Inbreak(9,740)
🇳🇴Loddefjord, Norway
2.2August 22, 2019
22.08.2019, 0,35l can @ hotel room at Narita Airport:

Nice bubbly-creamy mediumlasting head. Aroma is slightly…
Show more
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
2
Overall
7",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
8,"jgb9348(9,562)
🇺🇸Arlington (Pentagon City), United States
3.5August 6, 2019
Deep dark brown coloured body that does look almost black, all with a very nice, strong two to three centimetre tall tan head. Aroma of roasted malt, nuts, oatmeal, prunes and a touch of…
Show more
CAN
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
9,"rja(924)
🇳🇱BREDA, Netherlands
2.9August 3, 2019
The beer is called Schwarzbier, but its not like the German Schwarzbier. With the chocolate and coffee hints, the beer tends to a Porter. Nice and drinkable.
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,Asahi Group Holdings (Asahi),"🇯🇵 Sumida-ku, Tokyo, Japan",Dark Lager - International / Premium,5.5%,,2.76,,165 cal per 355ml
