,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"Borresteijn(10,440)
🇳🇱Heerhugowaard, Netherlands
3.7July 26, 2022
35cl Blik van Beer Republic. Iets mistig oranje kleur, witte kraag. Licht harsig, grapefruit, citrus, licht bloemig, wat steenvruchten en sinaasappel, finish is fors bitter, blijft lekker lang hangen.…
Show more
CAN
@ Beer Republic
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
3
Overall
15",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
1,"fistrin(856)
🇵🇱Lleida, Poland
4.2June 3, 2022
Llauna beer republic. Fantàstica west Coast. Bon aroma. Citrica, resinosa, punt maltosa. Ben equilibrada, bon cos
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
2,"Andrew196(2,480)
🇺🇸Katy, United States
4.1August 7, 2021
Had it many times, never bothered to review until today.  Pours a clear pumpkin color with a stable eggshell head.  Nose is citrus and malt galore, resin, nectarine.  Crisp and clean, rich…
Show more
Aroma
8
Appearance
5
Flavor
8
Mouthfeel
5
Overall
15",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
3,"DejanSt(2,188)
🇸🇰Trencin, Slovakia
4.5May 20, 2021
Plechovka z americanbeers. Vona intenzivna chmelovo citrusova. Kalna bledomedova farba a mierna pena. Chut vyrazna horka silna jemne citrusova. Dlho dlho ostava.
CAN
Aroma
9
Appearance
4
Flavor
9
Mouthfeel
5
Overall
18",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
4,"mithe(3,020)
🇨🇿Opava & Brno, Czech Republic
3.9May 6, 2021
(can 0,355l from online shop americanbeer.cz) Overall: Very tasty IPA. I like these malty-hoppy IPAs.
 Aroma: Strong hoppy, pine, light tropical fruits, caramel.…
Show more
CAN
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
4
Overall
16",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
5,"christiancastor(231)
4.0April 3, 2021
Fint, tätt skum som håller ok. Ngt grumlig i färg av äppeljuice. Svag citrusdoft. Smak med tall, citrus, hint av kola. Tydlig och trevlig beska från start som håller en bra bit in i eftersmaken.
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
17",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
6,"golddragon_(23)
4.1April 2, 2021
Aroma: Citrus aroma of hops, tropical fruit, mango
Appearance: golden body, very beautiful
Taste: very refreshing to drink, sweet mango tropical fruits,…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
7,"Miły(842)
🇵🇱Kielce, Poland
3.1April 1, 2021
Canned: 15.11.20 r.; Wypite: 31.03.21 r. 
Wygląd: Barwa złota, klarowna. Piana biała, średniej wysokości, głównie średniopęcherzykowa, opada do ostatniej warstwy,…
Show more
CAN
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
3
Overall
13",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
8,"maupie(3,412)
🇳🇱Roosendaal, Netherlands
3.8March 13, 2021
35.5cl blik. Helder geel kleur, fijne romige witte schuimkraag. De geur is citrus en mango. Smaak is zoet, grapefruit, mout en perzik. Medium body en veel koolzuur.
CAN
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
4
Overall
15",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
9,"Wendigo(4,738)
🇸🇰Bratislava, Slovakia
3.8January 30, 2021
Can. Hoppy aroma and taste, citrus fruit, resin, medium bitter. Medium body, hoppy resiny bitter finish. Ok.
CAN
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
17",Ballast Point Sculpin IPA,Ballast Point Sculpin IPA,Ballast Point Brewing Company (Kings & Convicts),"🇺🇸 San Diego, California, United States",IPA,7.0%,,4.11,"San Diego IPA
The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart. Founded in 1992, the Mart continues to be a catalyst for the San Diego brewing scene, setting the trend for handcrafted ales. Inspired by our customers, employees and brewers, the Sculpin…",210 cal per 355ml
