,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"danlo(9,174)
🇬🇧Darlington, England
2.0January 5, 2020
330ml can from tourist shop at Ngong Ping, Hong Kong. Straw yellow golden colour, white foamy head and aroma of malt, corn grain. Taste is sweet, malty, corn grainy with some…
Show more
CAN
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
1,"jmgreenuk(17,138)
🇲🇾Kuala Lumpur, Malaysia
1.6May 7, 2019
Bottle at an unknown night BBQ in Hong Kong. Poured a crystal clear golden colour with a thin broken white head and lots of bubbles. The aroma is malt, cardboard, water. The flavour is…
Show more
BOTTLE
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
2,"kiwianer(4,068)
🇳🇿Otorohanga, New Zealand
2.7February 5, 2019
The foam stability is medium, the body gold. The Aroma is malty a bit bitter. The taste is malty, a bit hoppy, balanced. Only a bit sweet and a bit watery.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
3,"wilnatp(844)
🇺🇸United States
0.6August 19, 2018
Can bought on Lamma Island, Hong Kong. Taste is of soggy cardboard and some sweet malt. Not too refreshing or notable. At least this has limited aftertaste.
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
2
Overall
1",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
4,"drfabulous(14,688)
🇺🇸Lexington, United States
2.3July 9, 2018
12 ounce bottle bought on the campus. Clear bottle with yellow pour. Not a great nose. Taste a bad pils sweetness.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
11",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
5,"blackisle(4,292)
🇳🇱Amsterdam IJburg, Netherlands
2.3June 1, 2018
Bottle 33cl. from a 7 Eleven Soy Street Kowloon, @hotel poured into a shaker. Clear pale golden, small fizzy white head, mostly diminishing, minimal lacing; aroma sweet malts, corn, cooked…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
6,"YantarCoast(3,970)
🇷🇺Moscow, Russia
1.9October 7, 2017
330ml bottle. Pours clear yellow with a small white head that fades in a couple of seconds. Aroma is corn, lemons. Taste is cardboard, lemon, sweet malt, corn.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
7,"sccp1910(538)
🇧🇷Brazil
2.7August 13, 2017
Uma lager discreta e um pouco sem gra�a. Fraca, por�m refrescante, se tomar gekada tudo bem....rs
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
8,"HighSparkDiesel(687)
🇹🇼Taipei City, Taiwan
1.3June 17, 2017
A big can from Simplemart down the road. Aroma: a little bit sour. Appearance: clear light amber, no head. Palate: light-bodied and thin, soft carbonation, nothing doing at the end.…
Show more
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
2
Overall
2",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
9,"futre7(358)
🇹🇼Taipei, Taiwan
1.9April 23, 2017
Mate bought a six pack from Chen Lien in Taipei City. Not one to play devils advocate but this is not that bad for a Korean lager. Hite and Cass literally have no taste at all. At least this…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
4",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
10,"Koelschtrinker(28,835)
🇩🇪Brewver-Town, Germany
1.9March 18, 2017
Mild süßlicher Antrunk. Leicht nach Getreide, minimal herb, laff. Höchst langweilig. 5/7/6/6/6/6
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
3
Overall
8",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
11,"PowY(4,279)
🇦🇹Vienna, Austria
1.3December 7, 2016
640 ml bottle. Pours a light straw yellow. Aroma of grassy hop. The taste is rather sweet and lightly bitter with an odd cardboard flavor. Very thin.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
3",Blue Girl,Blue Girl (5.0%),Jebsen Beer,🇭🇰 Hong Kong,Pale Lager - International / Premium,5.0%,,1.68,"This is the 5%-Version, sold in HongKong, Macao and Taiwan only.",
