,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"GuideDogSaint(3,140)
🇨🇳Xiamen, China
0.9June 11, 2015
355ml can from Walmart, Xiamen. Pours yellow with a dissipating white head. Aroma of lemon with with underlying malt and corn. Sweet lemon finish. Not great.
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
3",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
1,"VsXsV(5,000)
🇸🇪Stockholm, Sweden
1.8February 1, 2014
Can. Clear green liquid with fast dissipating white head. Aroma of lemon, corn, grain and metal. Taste is dry and light bitter with notes of artificial lemon and grain. Light bodied with high…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
8",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
2,"FatPhil(23,239)
🇪🇪Tallinn, Estonia
1.3June 5, 2013
355ml can (Convenience store, Suwon)…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
1
Overall
5",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
3,"AndreasJaeger(505)
🇸🇪Malmö, Sweden
1.9February 2, 2013
Ljusgul i färgen med luftigt vitt skum. Doft av diskmedelslemon och gräs. Smakar sött, lime och citonaktig smak. Vattnig med hög kolsyra.
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
7",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
4,"Bart(2,934)
🇧🇪Brussels, Belgium
2.1September 23, 2012
355ml Canned. Clear yellow coloured with medium carbonation and a medium white head. Rather fruity light lemony aroma. Medium palate. Finish is fruity refreshing with a lemon twist.…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
7",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
5,"Pyobon(2,456)
🇦🇺Sydney, Australia
3.0July 6, 2012
(can) Clear straw / pale golden with quite decent white head. Nice aroma of lemon with hint of grassy hops. Light body, fizzy carbonation - more the palate of of a fizzy soft drink than a…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
6,"Ratman197(23,244)
🇺🇸Denver, United States
3.0July 4, 2012
1st American rating!  Can poured a clear yellow with a lasting white head. Aromas of lemon zest and light bread. Palate was light bodied and crisp with a dry finish. Flavors of lemon zest…
Show more
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
4
Overall
11",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
7,"Palme(5,036)
🇳🇴Bergen, Norway
2.1May 7, 2012
0.355l can. After spending a few months in my fridge, I guess it’s time to try this one. It pours a clear golden body with a small and heavy lacing white head. It smells kinda lemon-ish…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
8,"Theis(15,148)
🇩🇰Frederiksberg, Denmark
1.4December 8, 2011
Can at Papsoe’s - Thanks. Clear golden - white head. Lemon, light malty, light candy, thin, artificial, boring....
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
5",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
9,"joergen(39,716)
🇩🇰Frederiksberg, Denmark
1.7December 2, 2011
Can at Papsø.
Clear yellow coloured with a medium sized white…
Show more
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
10,"yespr(55,116)
🇩🇰Copenhagen, Denmark
1.6December 1, 2011
33 cL can. Pours clear and golden orange with a small white head. Aroma is lemonish sodapop. Sweet, citric and fruity. Citric and sweet sodapop, yet also slight watery finish.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Cass Lemon,Cass Lemon,Oriental Brewery (AB-InBev),"🇰🇷 Seoul, South Korea",Flavored - Fruit,3.9%,,1.75,Cool refreshing and brisk taste with the twist of lemon.,117 cal per 355ml
