,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"DSG(24,098)
🇮🇱Tel Aviv, Israel
1.6August 29, 2022
Bottle sample at a tasting at Yoav's place. Clear light golden. Sprite, cheap.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
5",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
1,"IPALegion55(1,294)
🇵🇱Szczecin, Poland
2.2August 20, 2022
Limonkowe, słodkie, ladnrynkowe, zachodzące na sztuczne w zapachu.
W smaku słodkie, mięta liomonka, dalej mocno słodkie…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
2,"zvsn(7,780)
🇮🇱Israel
2.2August 7, 2022
Bottle at a tasting, many thanks avrashi! Clear yellow. Skunk, sage, soap, vegetal aromas. Very sweet, ginger, artificial lemon, vegetables, corn, tequila. Light-bodied, watery.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
3,"franclh(4,817)
🇳🇱Dedemsvaart, Netherlands
2.5July 3, 2022
Fles 33cl thuis gedeeld. Fris, zoet, lemon, grainy, sinas, cactus, grassig. (3-7-2022).
BOTTLE
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
12",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
4,"thanatosti(3,786)
🇳🇱Culemborg, Netherlands
2.9May 22, 2022
33 cl. bottle @ home, bought @ Coop Culemborg.
Clear yellow with a white head. Lime and lychee aroma. Sweet taste with a sweet finish. Inoffensive and maybe even tastier…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
5,"SVD(5,169)
🇳🇱Nijmegen, Netherlands
2.5May 21, 2022
Can at home, golden colour, no head. Aroma is sweet, lime, and a tiny hint of cactus and that is it. Taste is hint of beer, some lime, some cactus and tequila maybe. meh
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
11",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
6,"Zlotta(8,030)
🇩🇪Hagen, Germany
2.6July 20, 2021
0.5 l can from local 'Aldi', brewed in the Netherlands, best before January 2022. Clear, golden with a medium large, frothy, slowly diminishing, white head. Sweetish, a little sourish,…
Show more
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
7,"biir(3,312)
🇩🇪Hamburg, Germany
2.3June 4, 2021
Bottle from Edeka in Barmbek - straight out the supermarket fridge on a hot day, on road to the final playoff kiel against cologne. slim, sweet, some cactus and lime notes. artificial.…
Show more
BOTTLE
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
8",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
8,"coil(733)
🇬🇧England
1.9May 9, 2021
330ml bottle from Wine Bargains Of Holborn, London. Gold + white head. Artificial lemon / lime, cheap / fake tequila, very watery / weak tasting, cactus fruit (??), skunked pissy light…
Show more
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
8",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
9,"jmgreenuk(17,115)
🇲🇾Kuala Lumpur, Malaysia
2.9April 28, 2021
330ml bottle at Well Craft, Sri Hartamas, Kuala Lumpur. Poured a clear golden colour with a mostly lasting frothy white head. The aroma is simply lime. The flavour is moderate sweet, with…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
10,"czgr(1,916)
🇵🇱Opole, Poland
3.5January 27, 2021
Pite jakiś czas temu. Ocena w celu uzupełnienia profilu. 
https://www.instagram.com/czgr_
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
13",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
11,"PilsnerDoctor32(2,338)
🇪🇸madrid, Spain
2.3January 22, 2021
Botella 0,33l Dorada, espuma blanca, escasa, desaparece en seguido. Aroma citrico, tequila, frutas tropicales. Sabor dulce, limonada con alcohol, citrico, tequila, frutas tropicales. Para…
Show more
BOTTLE
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
1
Overall
8",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
12,"lithilorn(568)
🇵🇹Covilhã, Portugal
2.2November 16, 2020
Pale golden body and white head. Sweet lime, some tequila and grass aroma. Sweet taste of lime and cactus. Medium body and carbonation. An average beer.
BOTTLE
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
13,"Michcio(2,090)
🇵🇱Gdansk, Poland
2.4August 8, 2020
Barwa złota, lekko zamglone, piana biała, średnio obfita, średnio trwała. W aromacie lekki szampon, lekka limonka. W smaku dosyć słodkie, kwasek cytrynowy, sztuczna limonka.…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
14,"caketm(4,444)
🇵🇱Czestochowa, Poland
2.7August 2, 2020
Butelka 0,5 litra, zakupiona w Delikatesach Centrum. Barwa złota, klarowna. Niska i mało trwała, biała piana. Słaby aromat, odrobinę limonkowy. W smaku nie wiele, ale lepiej. Lekko…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
15,"Biroholik(4,446)
🇵🇱Sosnowiec, Poland, Poland
3.0June 30, 2020
Biroholik
Grupa Żywiec by Desperados Cactus And Lime
Biroholik is drinking a Desperados Cactus And Lime by Grupa…
Show more
CAN
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
4
Overall
13",Desperados Lime,Desperados Lime,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Pale Lager - American,3.0%,,2.27,Formerly Desperados Mas.  Flavoured with Tequila / Lemon  / Cactus.,90 cal per 355ml
