,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"thanatosti(3,786)
🇳🇱Culemborg, Netherlands
1.8May 7, 2022
33 cl. bottle @ home, bought @ Coop Culemborg.
Clear golden with a white head. Overpowering mint aroma with some citrus. Sweet mint taste, sweet mint finish. Mint, mint,…
Show more
BOTTLE
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
1,"HopsTapper63(47)
0.6January 27, 2022
Színe arany. Meglepetésemre van habja. Illata számomra felejtős. 
Dobozán lévő felirat szerint sör. Fogadjuk el, viszont akkor…
Show more
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
2",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
2,"Jingis(2,591)
🇸🇰Bratislava, Slovakia
2.3October 19, 2021
Plechovka z obchodu. Farba zlatista. Vôňa sladká matova mochitova. Chuť mochitova sladká.
CAN
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
3,"Cthulhu(1,196)
🇲🇭Marshall Islands
2.5August 16, 2021
(Provei um bocado do copo da namorada.) Menos horrível do que estava à espera. Aroma forte a mente.  Ligeiro sabor a lima. Doce.
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
10",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
4,"franclh(4,826)
🇳🇱Dedemsvaart, Netherlands
1.2August 15, 2021
Fles 33cl thuis gedeeld. Munt, suiker, tequila, erg zoet, lemon. (14-8-2021).
BOTTLE
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
6",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
5,"BlackHaddock(13,427)
🇬🇧The County Time Forgot, England
3.2July 19, 2021
Clear 400ml bottle (6% ABV) from a local Nisa Store: 5th Feb 2022. Drank in the sun on my patio 18th Jul 2021. I actually quite enjoyed this cocktail beer, the mint and lime hide the…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
12",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
6,"dannyhill(2,091)
🇸🇰Slovakia
2.5June 11, 2021
C: clear golden
N: mojito, mint, ice
P: sweet, artificial sweetener, mint, guava, herbal,…
Show more
CAN
Aroma
4
Appearance
5
Flavor
4
Mouthfeel
5
Overall
7",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
7,"TrappistExports38(266)
🇸🇰Košice, Slovakia
0.5July 3, 2021
I've been drinking this beer for a long time, so I'm just taking this here to keep it written
CAN
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
8,"Grisza77(1,939)
🇵🇱Poznań, Poland
2.4May 11, 2021
Jasno złote, klarowne piwo o słabej pianie, która szybko redukuje się do zera. Aromat głównie mięty. W smaku mięta i limonka. Goryczki brak. Ogólnie z piwem to nie ma za dużo…
Show more
BOTTLE
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
9",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
9,"AndySnow(13,897)
🇸🇪Huddinge, Sweden
2.5April 23, 2021
How: Bottle.
Where: Systembolaget.
Appearance: Golden colour with a white…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Desperados Mojito,Desperados Mojito,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,5.9%,,2.39,,177 cal per 355ml
