,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"dekris(1,361)
🇵🇱Olkusz, Poland
1.4April 12, 2022
Degustacja ""złocistego trunku"" bez opisowej oceny     ........................
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
1,"Grisza77(1,939)
🇵🇱Poznań, Poland
2.4May 11, 2021
Czerwone, klarowne piwo o całkiem obfitej pianie, która zdobi szkło i pozostaje do końca w formie warstewki na powierzchni. Aromat nikły. W smaku lekko kwaskowe i lekko słodkie.…
Show more
BOTTLE
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
2
Overall
9",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
2,"DocuDrinks(1,852)
🇱🇻Riga, Latvia
2.3February 21, 2021
Rating this as a beer cocktail and not comparing to proper beer.
Smell- weak, acidic, bit chemical, soft drinik.
Foam- acidic, sugar, sweet, soft drink, faint tequila notes.…
Show more
CAN
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
3,"czgr(1,916)
🇵🇱Opole, Poland
2.1January 26, 2021
Pite jakiś czas temu. Ocena w celu uzupełnienia profilu. 
https://www.instagram.com/czgr_
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
4,"coil(733)
🇬🇧England
1.6October 29, 2020
400ml bottle, from an off licence. Red colour + white head. Sweet artificial guarana, cheap tequila, artificial sweetness, cherry Haribos, medicinal, bit sour, some weird almost vomit…
Show more
Aroma
4
Appearance
1
Flavor
3
Mouthfeel
2
Overall
6",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
5,"lkowalkowski(1,454)
🇵🇱Poland
2.5May 7, 2020
Czerwonej barwy, klarowne.
Piana słaba.
W aromacie owocowe.…
Show more
BOTTLE
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
11",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
6,"VDuquerroux(4,903)
🇫🇷Airvault, Haut-Poitou, France
1.5April 28, 2020
Saturday, April 25, 2020. Can, 50cL. 5.9%. Purchase (""Intermarché"", Airvault (79), FR). Home. #Calisky en galère # solidaire #french admin :) episode (1/3). A sparkling beautiful…
Show more
CAN
Aroma
3
Appearance
4
Flavor
2
Mouthfeel
2
Overall
4",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
7,"Grumbo(16,420)
🇬🇧Ipswich, England
2.0April 12, 2020
11/4/2020. Don't know how we got this, it's been sitting in the fridge quite a while. Thought I'd open it up as it's taking up valuable space. Poured amber red with a bubbly white head.…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
8,"tonigranota(283)
2.0January 28, 2020
Not a bad taste but for sure it has a lot lf sugar and additives, not a real beer.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
9,"mithe(3,020)
🇨🇿Opava & Brno, Czech Republic
2.1January 27, 2020
(bottle 0,33l from Levné Potraviny Brno) Overall: Exotic fruity lemonade.
 Aroma: Light sweet, exotic fruity, artificial.…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Desperados Red,Desperados Red,Heineken France (Heineken),"🇫🇷 Rueil-Malmaison, Ile-de-France, France",Flavored - Other,6.0%,,2.01,"Beer aromatized with tequila, cachaça and guarana.",180 cal per 355ml
