,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"Misek93(31)
Belgrade
2.8August 26, 2022
Brown color, nice but low yellow head.
Aroma gives yeast, roasted barley.
Tastes pretty much the same. Nothing…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
5
Mouthfeel
2
Overall
10",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
1,"goldstarsteve(1)
2.5August 23, 2022
Purchased bottle in local Rami Levy super for 9 shekels (about 2.7 usd). It is kosher which means brewery big enough to have a kosher line. First time I have had a dark colored wheat beer.…
Show more
BOTTLE
Aroma
2
Appearance
3
Flavor
6
Mouthfeel
2
Overall
12",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
2,"italianjohn(5,222)
🇺🇸Penndel, United States
3.4August 17, 2022
Brown cloudy pour with a thin creamy beige head and spots/bands of lacing ….. aroma of caramel malts, wheat, toffee, roasted malts, light banana, light chocolate, raisin and…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
3,"ResinousMonger50(103)
🇵🇹Portugal
3.4August 13, 2022
De lata 50 cl, uma cerveja de cor negra, espuma duradoura, sabor leve a café é muito agradável. Pouco gasificada. Talvez a minha cerveja preta favorita 🇩🇪🍻
CAN
Aroma
6
Appearance
3
Flavor
8
Mouthfeel
3
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
4,"jonathan_reviews(101)
🇬🇧Preston, England
3.4August 8, 2022
500ml bottle @ 5.3% ABV
Black/dark brown ale with a one finger brownish head, similar too a stout. Aroma is of roasted malts, chocolate, toffee,…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
5,"redders1974(2,824)
🇬🇧Rossendale, England
3.4July 9, 2022
One of those beers I'd mistakenly thought I'd rated ruby brown decent head simple with the wheat a praline chocolate notes
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
6,"Antonio369(667)
🇳🇱The Hague, Netherlands
3.6June 28, 2022
0,5 L bottle served in a weizen glass. Poured dark Brown with three finger tan head. Aroma: caramel, Chocolate, vanilla, wheat, coriander, malts. Taste: wheat, coriander, caramel,…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
4
Overall
15",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
7,"Helsdon(787)
🇨🇦Toronto, Canada
3.2May 21, 2022
Very bready toasted malts. Thick with a little sharp carbonation. A fading bitterness over a middlingly sweetness. Nothing complicated here, but not bad.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
8,"PellicleScout54(67)
🇬🇧England
3.8April 12, 2022
500ml bottle poured, 5.3% abv. Deep brown hazy beer with big, foamy, beige head. Malty, sweet aroma with fruity and roasted notes. Nice and balanced flavour of dark bread, dates, roast…
Show more
BOTTLE
Aroma
7
Appearance
5
Flavor
7
Mouthfeel
5
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
9,"tapefuzz(2,272)
🇺🇸United States
2.3January 22, 2022
11.2oz bottle.  Pours a dark mahogany with a large, foamy beige head.  Aroma is yeast, banana, and caramel.  Taste is caramel, molasses, banana, roast, grass, nuts, and wheat.…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
9",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
10,"Cheeseboard(3,865)
🇬🇧England
3.0January 12, 2022
Bottle, online from Beers of Europe. Pours unclear dark brown with a beige head. Aroma: caramel, banana, nutty. Taste: moderate sweet & light bitter, light sour note then the banana…
Show more
BOTTLE
@ Beers Of Europe
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Erdinger Dunkel,Erdinger Weissbier Dunkel,Erdinger Weißbräu,"🇩🇪 Erding, Bavaria, Germany",Weissbier - Dunkelweizen,5.3%,,3.27,Bottle conditioned.…,159 cal per 355ml
