,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"DocuDrinks(1,852)
🇱🇻Riga, Latvia
2.4October 3, 2022
Smell- weak hops.
Foam- thin, weak malt, weak hops. Head is medium sized.
Appearance- beer-specific bottle cap? Simple label. Clear…
Show more
BOTTLE
@ Alus Tirgus - Bergi
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
2
Overall
9",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
1,"ostatnidzieciol(2,095)
3.4August 26, 2022
Złote, klarowne, niezła piana, zostawiająca trochę śladów. Aromat słodowy z nutką chmielu. W smaku lekko słodkie z porządnie zaznaczoną goryczką.
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
4
Overall
13",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
2,"tgrtnr(2,474)
🇩🇪Germering b München, Germany
2.5August 22, 2022
From can in Prag. Corn, grain, cardboard, light dry citrus. Mild dryness, some grainy sweetness. Light bodied, watery texture, soft carbonated, mild dry sweet finish. Below average at best.
CAN
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
10",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
3,"lucyfer(748)
🇵🇱Poland
2.7August 15, 2022
W aromacie: zioła, siano, kwiaty, nuty ziemiste, estry.
W smaku, który jest półsłodki dominują estry, najbardziej szampańskie i jabłkowe. Jest też trochę kwasowości.…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
4,"CanCrusher(1,808)
🇸🇮Ilirska Bistrica, Slovenia
3.1July 28, 2022
Can 0,50L. Clear golden color with small frothy white head that doesn't lasts long. Aroma is grassy, grainy and malty. Taste is light sweet with some vanilla notes. Finish is light bitter, malty…
Show more
CAN
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
5,"Craftakt(1,029)
🇩🇪Hannover, Germany
2.9June 9, 2022
Geht fast schon Richtung Märzen. Malzbetont mit einer leichten Süße und wenig herb. Insgesamt recht rund aber auch recht unspektakulär durchschnittlich.
CAN
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
6,"2OLD4BS(1,143)
🇺🇸west windsor, United States
3.2April 16, 2022
Brown golden color with some carbonation and one finger of head.  Fruity flavors are well blended together.  Pleasant finish.
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
15",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
7,"IPALegion55(1,301)
🇵🇱Szczecin, Poland
3.0February 28, 2022
Złote, przejrzyste, piana niezbyt obita.
W zapachu słodkie, kukurydziane, ciut kwiatowe.
W smaku już nie takie słodkie, ale dalej ciut kukurzydzine,…
Show more
BOTTLE
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
3
Overall
14",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
8,"Grumbo(16,420)
🇬🇧Ipswich, England
2.8January 5, 2022
2/1/2022. Can at the New Year beer share. From halusky.co.uk. Pours clear bright gold with a frothy white head. Nice looking pour. Aroma of sweet malt, caramel, fruit, grain, metal.…
Show more
CAN
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
2
Overall
10",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
9,"zvsn(7,795)
🇮🇱Israel
2.5December 26, 2021
Can. Clear golden, big bubbly head. Aroma of corn, grains, malt. Sweet, grainy, vegetal, corny, buttery, honey. Medium bodied.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Gambrinus Original,Gambrinus Originál 10° (Desítka),Plzeňský Prazdroj (Asahi),"🇨🇿 Pilsen, Plzen Region, Czech Republic",Pilsener - Bohemian / Czech,4.3%,,2.60,"I mimo hospodu naše desítka spolehlivě osvěží. V každé várce vyvažujeme ten správný poměr vlastního českého sladu a chmelové odrůdy Sládek, aby chutnala stejně od prvního do posledního doušku a vybízela k dalšímu napití.…",129 cal per 355ml
