,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"Oscbert(1,737)
🇺🇸Lincoln, United States
3.4July 23, 2022
Light wheat bready aroma with light spice hops. 
Pours a hazy gold color with small creamy white head
Light wheat refreshing flavor with light spice hop.…
Show more
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
4
Overall
14",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
1,"Jingis(2,591)
🇸🇰Bratislava, Slovakia
3.0January 10, 2022
Plechovka z american beer. Vôňa viac citrusová. Farba zlatista bledsia. Chuť jemne citrusová a jemná horkost.
CAN
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
2,"jmgreenuk(17,130)
🇲🇾Kuala Lumpur, Malaysia
3.3August 7, 2021
330ml bottle. Poured a hazy medium to light amber with a short-lived frothy white head. The aroma is grainy malt, big yeast, banana, some citrus notes. The flavour is moderate to…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
3,"jhsnitz1(1,351)
🇺🇸Pendleton, United States
2.3July 19, 2021
Cloudy pale yellow.  Taste is a little creamy and sweet with a crisp, slightly bitter finish.
BOTTLE
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
4,"After.dawn(64)
🇰🇷Suwon, South Korea
2.2August 30, 2021
풍미자체는 무난무난한 에일이며 오바마 맥주로 유명합니다.

이름이 구스아일랜드312인 이유는 시카고 지역번호가 312이기 때문이…
Show more
CAN
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
10",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
5,"ITFCfan(862)
🇬🇧Ipswich, England
3.0April 3, 2021
02/04/21 - Bottle whilst watching the football. Poured prior to kick off with a high amount of carbonation. Aroma of wheat, straw and citrus. By the time Ipswich had scored 2 goals in…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
6,"SilkTork(7,346)
🇬🇧Southampton, United Kingdom, England
2.6March 24, 2021
Lockdown March 2021. Small brown bottle, no sediment, from a BeerHawk UK box. Gentle flavours. Lagerish, but drinkable. It's OK. [2.6]…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
7,"JDsz5(602)
2.9March 4, 2021
Aroma 7. Appearance 3. Taste 5. Palate 2. Overall 12. Wheat, sweet citrus fruit, and yeast aroma. High carbonation. Malt and wheat taste, some spices, honey, citrus fruit, and a hint of…
Show more
Aroma
7
Appearance
3
Flavor
5
Mouthfeel
2
Overall
12",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
8,"Jerseyislandbeer(3,879)
🇯🇪Jersey
3.1February 11, 2021
Old rating from 12-05-16 - 355ml bottle, a gift from a friend who visited Vegas. Pours a cloudy yellow colour with a small white head. Aromas of yeast & wheat and faintly of apples & honey.…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
9,"DaridoPL(340)
🇪🇸Spain
3.3February 1, 2021
Aroma agradable a cítrico y cereal, color amarillo claro, bastante transparente, sin cuerpo, acuoso, y la espuma desaparece en pocos segundos. Parece pis.…
Show more
BOTTLE
Aroma
7
Appearance
1
Flavor
7
Mouthfeel
4
Overall
14",Goose Island 312 Urban Wheat Ale,Goose Island 312 Urban Wheat Ale,Goose Island Beer Company (AB-InBev),"🇺🇸 Chicago, Illinois, United States",Wheat Ale,4.2%,20 IBU,2.89,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of…",126 cal per 355ml
