,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"2OLD4BS(1,143)
🇺🇸west windsor, United States
2.2September 12, 2022
Three fingers of head light brown color.  Fruity flavors are bland and boring.  Another beer I would like to forget.
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
1,"kalasanty(910)
🇵🇱Poland
2.9September 7, 2022
Puszka 0,5 l. Piana biała, obfita, gęsta, niezbyt trwała. Barwa złota, klarowne. W aromacie nuty słodowe, siana. Smak czysty lagerowy, słód, skórka chleba, lekka ziołowa goryczka na…
Show more
CAN
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
4
Overall
10",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
2,"arsol(2,820)
🇳🇴Sørumsand, Norway
3.0September 7, 2022
Lys klar med hvitt skum. Lukter urter, lys malt og litt sitrus. Absolutt en ok lager. Lett men har karakter.
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
3,"OminouSC2(3,409)
🇸🇪Mora, Sweden
2.9August 9, 2022
Golden color, small white head. Aromas of bread, yeast, hops and herbs. Taste of bread, hops and minerals.
BOTTLE
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
3
Overall
11",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
4,"nephirem(1,955)
🇭🇷Croatia
3.1August 4, 2022
Can, 0.5l. Clear golden pour, two finger soapy white head, short lasting. No lacing on the glass. Grainy and grassy nose, mild sweet notes.…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
5,"flelau(285)
🇩🇰Kastrup, Denmark
2.6July 31, 2022
Meget lys med groft skum. Let jord og humle duft. Let bitterhed og fin let fylde. Smag af humle.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
6,"thellgren(2,136)
🇫🇮Helsinki, Finland
3.4July 24, 2022
0.33 l can from Gulpener Brouwlokaal, Gulpen, The Netherlands. Golden, clear, nice head. Basic golden lager with malts and hops fighting each other.
CAN
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
7,"riggsfc61(1,839)
🇺🇸Franklin, United States
2.8July 23, 2022
Found out of cans from a Biedronka in Jaworze, Poland. Pours a clear dark yellow/light gold with medium white foam. Standard aroma for the style. It's q fine hot summer day…
Show more
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
8,"labeerinthum(6,521)
🇮🇹Milano, Italy
3.1July 19, 2022
Bottiglia. Il gusto al naso è indirizzato verso l'orzo. L'olfatto viene stimolato in maniera normale e l'esistenza olfattiva è sufficiente. Il cappello di schiuma ha una scarsa tenuta. La…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
9,"mario_ros(1)
3.1July 17, 2022
Me gustó su sabor a miel, no fuerte pero característico.
Un buen sabor para una noche tarde después del trabajo
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Grolsch Premium Larger,Grolsch Premium Lager,Grolsche Bierbrouwerij Ned. (Asahi),"🇳🇱 Boekelo, Overijssel, Netherlands",Pale Lager - International / Premium,5.0%,,2.70,Bottle: Filtered and force-carbonated.…,150 cal per 355ml
