,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"beer_shepherd(338)
🇮🇹Castello di Fiemme, Italy
2.7September 6, 2022
Ambrata con ampia schiuma persistente. Aromi fruttati, ananas, agrume; si sente un accenno di caramello. In bocca sensazione dolciastra spenta in fretta da un amaro intenso e…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
4
Mouthfeel
3
Overall
10",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
1,"DraftLove69(1)
🇬🇷Greece
3.2September 4, 2022
Rich taste but I was expecting something more, above the average anyway. Aroma and mouthfeel above the average as well.
BOTTLE
Aroma
7
Appearance
2
Flavor
8
Mouthfeel
3
Overall
12",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
2,"Davros(4,638)
🇦🇺Melbourne, Australia
3.4September 1, 2022
Pours amber with a small quickly fading head white head.
Nose shows herbal and spicy hops along with some grapefruit and restrained clean malt.…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
3,"fernockibeer(1,078)
🇵🇱Olesno, Poland
3.4July 31, 2022
Butelka. Wygląd - jasnobursztynowa barwa, lekko zamglone, z kożuszkiem drobnej piany. Aromat - trawiatość, kwiatowość, lekka słodowość, nuty karmelowe. Smak - półsłodkie, trochę…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
4,"dannyhill(2,091)
🇸🇰Slovakia
3.5July 10, 2022
C: amber
N: sweet grapefruit, light tangerine, light resin
P: med carbonation, hoppy, dry, quite bitter, light tangerine,…
Show more
BOTTLE
Aroma
6
Appearance
5
Flavor
6
Mouthfeel
5
Overall
13",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
5,"ale_gg(6)
🇮🇹Palermo, Italy
3.6July 9, 2022
IPA start level per chi vuole iniziare a conoscere il mondo di questo stile. Invitante l'aspetto, con un livello di carbonazione buono e schiuma abbastanza persistente che preserva l'arom…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
2
Overall
16
1",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
6,"crazkanuk(38)
3.8June 26, 2022
Slightly hoppy taste with hints of citrus that are not overpowering. The beer is smooth and accessible.
TAP
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
7,"a-beier(765)
🇩🇰Denmark
3.7June 21, 2022
Dark yellow/honey colour with white head. Smell of hops, citrus and pine. Taste of hops, citrus, sweetened with honey . Very refreshing and tasted on a cafe near Musee D'Orsay with S.
TAP
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
4
Overall
15",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
8,"paulvanpelt(1,123)
🇳🇱Reusel, Netherlands
3.5July 14, 2022
Helder goudblond bier. Bitter en zoet. Zacht. Hoppig, verder karamel en brood.
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
9,"Rob-BUM(13)
München
3.8April 29, 2022
Orange Farbe, wenig Schaum, Bitterkeit deutlich schmeckbar, Geruch unauffällig.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Lagunitas India Pale Ale (IPA),Lagunitas India Pale Ale (IPA),Lagunitas Brewing Company (Heineken),"🇺🇸 Petaluma, California, United States",IPA,6.2%,52 IBU,3.65,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now…",186 cal per 355ml
