,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"arsol(2,820)
🇳🇴Sørumsand, Norway
2.5September 19, 2022
klar gyllen med hvitt skum. Lett drikkelig lager. Lukter brød, malt og noe krydder. Ganske soft smak av malt og urter. Kort.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
1,"Jingis(2,591)
🇸🇰Bratislava, Slovakia
1.3September 3, 2022
Fľaška z metrpiva. Vôňa zelezita. Farba zlatista. Chuť zelezita sladkásta až moc.
BOTTLE
Aroma
4
Appearance
2
Flavor
2
Mouthfeel
1
Overall
4",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
2,"anno1980(2)
2.6July 5, 2022
Unkompliziertes Lager, hintenheraus leicht bananig, dominante Kohlensäure, nicht wirklich vollmundig, insgesamt ok
CAN
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
2
Overall
10",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
3,"jonas(12,972)
🇩🇪Garching b. München, Germany
3.0June 5, 2022
Lightly aged bottle. Dark golden, white head. Dusty grainy nose. Medium light dry body, grain, light dust, hay, light grassy hop finish.
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
4,"czlowiekwiadro(2,701)
🇵🇱Poland
2.1December 19, 2021
zapach bardzo lekki, trochę trawy, odrobina kwiatów, trochę jasnych słodów, wilgotny karton. kolor dość głębokiego złota, klarowny. piana biała, mało obfita ale stara się być trwała. w…
Show more
Aroma
3
Appearance
2
Flavor
6
Mouthfeel
2
Overall
8",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
5,"CiderTicks22(2,419)
🇵🇱Glogów, Poland
2.7September 10, 2021
Chciało się piwu na spacer iść, na szczęście w słabym tempie to i całe trafiło do szkła. 
Klarowne złoto wpadające w  bursztyn. Z niezłą pianą.…
Show more
BOTTLE
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
10",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
6,"jann3(816)
🇫🇮Espoo, Finland
2.1August 3, 2021
Pours clear amber with a smallish and fizzy head. Sweet aroma with notes of malts, corn and just a hint of crispier notes of hay. Taste follows the aroma with malty sweetness but finishes…
Show more
CAN
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
7,"MBlessing(4,101)
🇩🇪Württemberg, Germany
2.3July 8, 2021
Gelbes Bier, Getreide und malz in der Nase, ne Spur Hopfen herb, naja kein Bier von dem ich einen sixpack brauche...
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
8,"czgr(1,916)
🇵🇱Opole, Poland
1.3June 28, 2021
Zwykły sikacz z zielonej butelki. Kupione w Auchan dla kapsla i etykiety. 
Instagram/czgr_
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-
1",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
9,"koorchuck(3,733)
🇵🇱Nacpolsk, Poland
1.8June 14, 2021
W aromacie kukurydza, słód, śladowe ilości ziół.
W smaku woda mineralna, oczywiście mocno gazowana. 
Ale nie dla smaku kupione, tylko dla kapsla i żeby odhaczyć…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
1
Overall
7",Lapin Kulta IV A,Lapin Kulta IV A,Hartwall (Royal Unibrew),"🇫🇮 Lahti, Päijänne Tavastia, Finland",Pale Lager - International / Premium,5.2%,,2.26,"Lapin Kulta IVA is light, easy to drink and fresh lager beer; and many people think that it is at best in this ABV. Aftertaste is soft and pleasant. ABV 5,2 %, gravity 12 %, color 8 EBC.",156 cal per 355ml
