,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"Diogène(1,231)
🇨🇦Mirabel, Canada
3.5August 13, 2022
Bouteille. Bière d'un noir intense surmontée d'une épaisse mousse mocha qui s'estompe après deux minutes. Au nez: chocolat noir, tabac, tourbe, vanille, réglisse et alcool. En…
Show more
Aroma
8
Appearance
4
Flavor
6
Mouthfeel
4
Overall
13",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
1,"mkcmagico(1,219)
🇭🇺Mezokövesd, Hungary
4.9June 27, 2022
Bottle. Gyönyörű ébenfekete szín, tömör szép barna hab, a címke is tekintélyt parancsol. Karamell-malátás, csokis alapon finom intenzív aszalt gyümölcsös aroma. Tömény élmény az…
Show more
Aroma
9
Appearance
5
Flavor
10
Mouthfeel
5
Overall
20",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
2,"Samtzu(1,858)
🇳🇿Palmerston North, New Zealand
4.6April 25, 2022
355ml bottle. Pours a deep black with strong foamy off white head. Intense roasted malt nose with bitter coffee, dark chocolate and dryness. Full body with light velvety notes and…
Show more
BOTTLE
Aroma
9
Appearance
4
Flavor
9
Mouthfeel
5
Overall
19",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
3,"Fisler(2,408)
🇩🇪Bamberg, Germany
3.9April 10, 2022
Optisch tiefes schwarz, satter Cappuccino-Schaum, in der Nase Malz,  erdig, im Trunk röstig, Kaffee, bittersweet, trocken holzig, schöner rostiger Abgang, alkoholisch.
CAN
Aroma
6
Appearance
4
Flavor
8
Mouthfeel
4
Overall
17",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
4,"MrTipple(17,041)
🇬🇧London, England
4.0March 29, 2022
20Feb2022 Dark roast malts, strong coffee, burnt toast, earthy, toasted chocolate cookie. Hazy, very dark brown, small, creamy, beige head. Light bitter. Sweet, dark roast malts, coffee, cacao…
Show more
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
5,"lukedarock(391)
🇺🇸Howell, United States
4.2January 27, 2022
Fantastic sweet chocolate with bitter aftertaste. Easy drinking that is full of flavor. Impressed
BOTTLE
Aroma
8
Appearance
5
Flavor
8
Mouthfeel
4
Overall
17",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
6,"galinmcmahon(5)
🇺🇸Portland, Or, United States
1.1December 27, 2021
Far too sweet for my taste.  Some people may like that but for me, a beer should be much more earthy.  I can't get through a full serving of this.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
7,"After.dawn(64)
🇰🇷Suwon, South Korea
3.7November 15, 2021
잔에 따르면 붉은 빛이 도는 흑진주 외관에 진흙색의 부드러운 헤드가 몽글몽글 쌓이네요.…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
8,"umestre(365)
3.8November 9, 2021
Gran cerveza de sabor potente y fuerte en boca y nariz. Muy agradable e intensa. Madera jumó vainilla
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
9,"GoddamnNoise(822)
🇪🇸Pontevedra, Spain
4.0November 8, 2021
1 pint can @ home, served in a teku glass, canned at: 2021/12/01, best before: unknown.…
Show more
CAN
Aroma
7
Appearance
5
Flavor
8
Mouthfeel
4
Overall
16",North Coast Old Rasputin Russian Imperial Stout,North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,"🇺🇸 Fort Bragg, California, United States",Stout - Imperial,9.0%,75 IBU,4.15,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia’s Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It’s a rich, intense brew with big complex flavors and a warming finish.…",270 cal per 355ml
