,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"rat(93)
2.2March 3, 2022
Pour s  pale straw color white foamy head  aroma of cut grass and pine trees taste of lemon and orange, nice bitter taste like duch…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
1,"atpsynthase(208)
🇸🇬Singapore
2.5November 6, 2020
Can from a local Japanese supermarket. Pours gold with the usual white head. The tiny bit of aroma it gives consists of a slight bit of malt, and some hops too. Slight malt, more hops…
Show more
CAN
Aroma
3
Appearance
3
Flavor
6
Mouthfeel
1
Overall
12",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
2,"linus(667)
3.5April 8, 2020
Malty and light hops. Abit biscuity and grassy. Slight bitter. Mildly sweet. Clean and crisp. Extremely refreshing and quaffable.
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
3,"ChungYunJi(212)
🇹🇼Taoyuan City, Taiwan
2.7April 3, 2020
Golden, Bright, white beerhead, with frothy, creamy and lacing foam. Good retention. Clean malty fragrance, pairing with light hoppy aroma, the flavor is mainly malty and focusing on the…
Show more
CAN
Aroma
3
Appearance
5
Flavor
2
Mouthfeel
4
Overall
13",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
4,"thejackpacker(2,525)
🇬🇧England
2.4February 23, 2020
Bottle at ramen shop near furano. Nice golden colour but hög standard lager.
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
5,"nimbleprop(13,646)
🇺🇸Southeast, Washington, United States
2.1February 22, 2020
12oz can from a Toyko 7-11.  Can't see it.  Smells like corn and grist and straw.  Flavor isn't terrible, corn and grist, white flour, underbaked biscuit.  Nothing too trashy.  Crisp finish.  This is…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
6,"bladerunner53(23)
🇳🇱Netherlands
2.1October 21, 2019
21 oktober 2019. Kanazawa. Getapt?  Restaurant. Middle-of-the-road bier. Niet veel smaak aan.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
7,"Quinny(0)
🇦🇺Perth, Australia
3.1October 19, 2019
Fantastic biscuity malt with a subtle bittering hop after swallowing is just enough to linger for a moment. Then have another sip and enjoy.…
Show more
Aroma
4
Appearance
4
Flavor
8
Mouthfeel
2
Overall
13",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
8,"fredthecat(548)
🇨🇦Canada
3.9September 7, 2019
very clear golden with small white head. sounds silly to repeat an advertising line, but actual ""fine malt"", smells like very carefully processed and clean malt, very small smokiness,…
Show more
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
4
Overall
16",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
9,"Piw(2,157)
🇩🇪Rüsselsheim, Germany
2.4August 27, 2019
330ml Dose. Klar und Golden mit kleiner Schaumkrone. Getreidig. Bisschen Malz. Mild im Geschmack. Typisches Industrielager, aber trinkbar.
CAN
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
11",YEBISU,Sapporo Yebisu,Sapporo Breweries,"🇯🇵 Tokyo, Tokyo, Japan",Pale Lager - International / Premium,5.0%,,2.59,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,150 cal per 355ml
