,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"FoamTun68(26)
🇸🇰Slovakia
2.7August 28, 2022
Bought a can in Kaufland, OC Danubia, Petržalka. Color yellow-orange hazy. Nice foam, nice carbornation Tastes lik banana, with hint of hop bitternes. Smells like  candied fruit. It is long,…
Show more
CAN
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
9",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
1,"Jingis(2,591)
🇸🇰Bratislava, Slovakia
2.2July 6, 2022
Vycap pivarnicka. Vôňa višňová. Farba tmavo červená bez peny. Chuť višňova s jemnou kyslosť ou a také údené.
TAP
Aroma
7
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
2,"CiderTicks22(2,416)
🇵🇱Glogów, Poland
2.6November 3, 2021
Pomarańczowe i mętne (trochę mało). Piana jak na weizena też nie za wielka. W aromacie banan bez goździka. 
W smaku już go trochę jest. Mało gazu, mało ciała. Lekki…
Show more
CAN
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
3
Overall
10",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
3,"midovark(5,233)
🇳🇱Alkmaar, Netherlands
2.8August 21, 2021
Can from a random kaufland in Germany, courtesy of Petra. I expected a lot worse tbh, this is actually a pretty okay hefeweizen, especially for the price I imagine it cost.
CAN
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
4
Overall
10",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
4,"vladeath(3,204)
🇷🇺Russia
2.5May 16, 2021
Budget Hefeweizen. Banana with cloves is in good shape. Little taste, watery. Not worth your attention.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
5,"Fisler(2,403)
🇩🇪Bamberg, Germany
3.2April 26, 2021
Variante Feldschlösschen (Dresden) von Kaufland Bamberg, 5.4%, blaue Dose. Wenig Perlung, in der Nase Banane, sehr deutlich. Im Trunk setzt sich im Trunk fort, cremig, hefig, süffi…
Show more
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
6,"kRadek(497)
🇵🇱Sosnowiec, Poland
3.6November 30, 2020
Wygląda poprawnie, pomarańczowe, mocno zmętnione, obfita biała piana. W aromacie sporo banana, dalej jasne pieczywo i goździk - absolutnie nie ma się do czego przyczepić. W smak…
Show more
CAN
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
14",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
7,"MartinNaxera(793)
🇨🇿Pilsen, Czech Republic
2.9November 12, 2020
An absolutely average hefeweizen. Good for a casual drink with a dinner. Ok one
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
8,"yoxik75(1,038)
🇵🇱Wroclaw, Poland
3.6September 26, 2020
Piana obfita drobne oczka, długo się utrzymuje. Kolor żółty mętny. Aromat słodowy, drożdże przyjemny. Smak słodowy biszkopt, drożdże, przyprawowe, banan goździk, lekka guma…
Show more
CAN
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
15",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
9,"pytrysek(825)
3.8September 23, 2020
0.5 l can. Pours hazy deep golden with medium head. A:milder than usual hefe but really nice, yeasty T: medium carbonation and body, light orange, sweet Wheaty, light bitterness, kinda…
Show more
CAN
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
14",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Weissbier - Hefeweizen,5.3%,,2.68,Brewed for Kaufland CZ. 11.8%,
