,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"Jingis(2,591)
🇸🇰Bratislava, Slovakia
2.5July 17, 2022
Plechovka z kauflandu. Vôňa zelezitost preraza chmelovost. Farba bledsia zlatista. Chuť sladova zelezita.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
1,"Botrytis(457)
🇦🇹Illmitz, Austria
1.4January 23, 2022
Optisch gut goldgelb mit sehr feiner Perlage. Die weiße, feinporige Schaumkrone gibt sich flaumig-stabil und mäßig gut haltbar.…
Show more
CAN
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
1
Overall
4",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
2,"vladeath(3,204)
🇷🇺Russia
2.7May 19, 2021
Can - Alc 4.2 for OG 9.5%
Straw color with excellent foam.
Nose. Malty with herbaceous floral hops, reminiscent of the…
Show more
CAN
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
4
Overall
8",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
3,"DraftAromas7(227)
🇷🇸Serbia
2.4September 17, 2020
Not that good, not that bad. This is a plain German lager with little to remember.
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
4,"qt01(537)
🇷🇴Cluj-Napoca, Romania
2.7August 14, 2020
Malty, cereal aroma and a mild bitter, bready, cereal taste. Good beer for the price.
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
5,"AndreiProdan(220)
🇲🇩Rautel, Moldova
2.0July 31, 2020
Aromă de cereale uşor dulce.Gust amărui de malţ şi carton. Nu merită atenţie.
CAN
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
6,"GhostS(1,004)
🇲🇩Chisinau, Moldova
2.7June 4, 2020
Aromă - cereale vechi, malț, note uleioase, ușor fân ud și ceva drojdii. Gust ușor dulce (malț), cu puțină amăreală generică pe fundal. Simplă.
CAN
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
10",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
7,"DoctorHU(1,991)
🇺🇦Transcarpathia, Ukraine
2.6January 31, 2020
500 ml can. Poured clear golden brew with white head. The aroma is sweet, cardboard and a little spicy. Taste dusty grainy, cardboard and short bitterish finish.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
8,"klukas(1,063)
🇭🇷Rijeka, Croatia
1.8January 30, 2020
Enjoyed: Poured from a can into tulip glass. 
Appearance: Clear/bright golden colour, medium head which soon fades away.…
Show more
CAN
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7
1",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
9,"as1999(479)
🇭🇷Zagreb, Croatia
2.3January 20, 2020
500 ml
Komercijalni lager, nista vise.. bez arome, svijetlije boje, pjena brzo nestaje.. okus previse kiselkast, bez gorcine..
CAN
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
8",Stephans Brau Larger,Stephans Bräu Premium Lager,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pale Lager - American,4.9%,,2.11,Brewed for Kaufland according to the German Purity Law. 11.2°,
