,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"Goldbarren(4,523)
🇦🇹Vienna, Austria
0.5November 3, 2021
Ein Billigbier für die Supermarktkette Kaufland, gebraut von der Feldschlößchen-Brauerei in Dresden. 
Grundsätzlich finde ich in Lizenz gebrautes Billigbier, welches…
Show more
CAN
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1
1",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
1,"remALUS(1,374)
🇱🇹Kaunas, Lithuania
2.5June 23, 2021
Can: 550ml,  at home. Price: 0,59.
kaina atitinka turinį. Nelabai tinkamas, net šaltas
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
2,"Embrouille(2,868)
🇨🇭Switzerland
2.6June 1, 2021
Canned 50cl. A decent lager purchased in Kaufland in Rheinfelden. Not bad at all.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
3,"MaltoseTrub52(64)
🇷🇴Romania
2.2April 1, 2021
Light, bitter and grassy. Nothing fancy from this cheap beer but did the price it might be worth it.
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
4,"pytrysek(825)
2.6December 28, 2020
0.5 l bottle. Pours clear golden with small head. A: malty T: medium carbonation and body, sweet malty, low bitter,
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
5,"FlightLees22(1,720)
🇳🇱Groningen, Netherlands
1.5July 28, 2020
Goud geel bier met stevige wit schuim. Het bier smaakt moutig, bitter, granig, bloemig. Heeft een klein aroma van alcohol. Eindigt bloemig en bitter.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
6,"browarpapi(855)
🇵🇱Olawa, Poland
2.4June 8, 2020
Piwo jasne klarowne o białej drobnopęcherzykowej pianie, która pozostawia lacing. W aromacie słodowe, lekki karton. W smaku metaliczna goryczka, niskie ciało, dosyć pijalne.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
1
Overall
10",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
7,"Bamsen78(7,964)
🇩🇰Sønderborg, Denmark
2.5May 8, 2020
Can. Pours clear pale straw with small but stable white head. Clear aroma of malt,mwith estery notes and touches of hops. Bitter flavour of hops and metal, with estery notes and mild…
Show more
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
8,"MiP(19,171)
🇩🇰Sønderborg, Denmark
2.3May 8, 2020
Can, 4.9%. Very grainy aroma. Clear golden colour. Stable white head. The flavour is malty and papery with a quite astringent bitterness. Watery finish.
CAN
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
9",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
9,"Bitek(1,291)
🇵🇱Warszawa, Poland
2.7January 26, 2020
Zupełnie akceptowalne, budżetowe, lekkie, z jakąś tam goryczką. Nic ciekawego, ale też nic dramatycznego. [2016]
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
10",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
