,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"andrewje41(6,770)
🇺🇸Monroe, United States
2.8August 24, 2022
Green bottle at Sodam, Seattle.  Pretty typical premium lager.  Light skunk aroma, far lighter than others.  Flavor is a watered down paper grain.  Slightly creamy body after a crisp front.…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
1,"italianjohn(5,243)
🇺🇸Penndel, United States
2.2August 15, 2022
Clear golden pour with a thin soapy white head and spots of lacing …. Aroma of grains, sweet malts, caramel malts and grassy hops …. Taste is of grains, sweet malts/caramel malts…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
2,"kata.u(121)
🇯🇵Nagoya, Japan
2.0July 20, 2022
Bottle. Clear light color. Almost no taste. Very eagerly. You can drink like water. Medium to high carbonation. Maybe good with Korean BBQ, but not recommended to drink this beer only.
BOTTLE
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
1
Overall
12",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
3,"deyholla(19,907)
🇺🇸Minneapolis, United States
2.2July 10, 2022
Can. Pours a clear yellow gold with a white head that dissipates to the edges. Aroma has lots of straw and sweet grains with a bit of corn supporting. Flavor has lots of corn and light earthy…
Show more
CAN
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
4,"daniele(13,576)
🇮🇹Italy
2.7June 7, 2022
bottle chiara limpida buona schiuma buona persistenza leggero cereale malto poco amara non molto aroma
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
5,"kwik-lime(4,501)
🇬🇧London, England
1.8April 30, 2022
Bottle from Asia Oriental in Farnborough. Golden pour, malty, not much hop character, but watery. Not great.
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
6,"joe19612(4,741)
🇬🇧CAMBERLEY, England
2.3April 10, 2022
Bottle. Pours a pale gold colour with a tight white head, light hop aroma, the taste is medium bitterness and a touch watery dry finish.
BOTTLE
@ Asia Oriental Supermarket
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
7,"BeerViking(8,441)
🇬🇧Brentford, England
2.5March 28, 2022
Can at a Korean restaurant, deep gold with a settling foam and a sweetish lightly estery and corny nose. Then malty-sweet and almost un-bitter, rather chewy for the style and OK with food.…
Show more
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
8,"Bif(3,114)
🇺🇸St. Charles, United States
2.5February 15, 2022
Bottle. Pours a clear golden color with a foamy head. Aroma of grain and malt. Taste of grain with a light malt sweetness. Mild bitterness and fairly clean finish. Light body, sort of bland and…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
9,"thegreenrooster(6,421)
🇺🇸St.louis, United States
2.3February 10, 2022
Pour is a clear gold with a large foamy white head.  Aroma is grainy lager malt.  Flavor is more grainy lager malt with a slight sweetness.  Not great not terrible just a watery lager.  Cool…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
10,"BeardedAvenger(5,940)
🇬🇧New Haw, England
1.7February 5, 2022
Bottle from Asia Oriental Supermarket, Farnborough. Aroma is slightly doughy, slightly skunky and grainy. Clear gold. Thin foamy white head. Sweet but not overly so thanks to a sour…
Show more
BOTTLE
@ Asia Oriental Supermarket
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
3
Overall
5",terra,Terra,HiteJinro,"🇰🇷 Seoul, South Korea",Pale Lager - International / Premium,4.6%,,2.33,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.,138 cal per 355ml
