,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"Misek93(36)
Belgrade
3.0October 15, 2022
Pours hazy ember orange with thin white head. No carbonation.
Aroma very bready, yeasty, and slightly sweet.
Taste overwhelmingly yeasty, with nice sweet aftertaste. Can…
Show more
BOTTLE
Aroma
6
Appearance
2
Flavor
6
Mouthfeel
3
Overall
13",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
1,"reidyboy(1,002)
🇬🇧Shrewsbury, England
3.6October 10, 2022
Cloudy orange-gold with a big frothy white head and bananas on the nose. Light to medium bodied, slightly grainy / chewy, with a yeasty malt flavour, some subtle hints of spice perhaps,…
Show more
BOTTLE
@ Tesco Supermarket (Various locations)
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
14",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
2,"micia600(303)
🇵🇱Warsaw, Poland
3.8September 15, 2022
Ciemne złoto, mętne, piana średnie oczka, obfita, brzuszki szkło.
W aromacie klasyka: goździk, dojrzały banan, zbożowość, mo…
Show more
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
3,"DraftLove69(1)
🇬🇷Greece
4.1September 4, 2022
The more comprehensive weiss for my own standards. Tip: It should be served at 8-10 degrees C. In this temperature aroma is more intense.
BOTTLE
Aroma
9
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
4,"Derbeth(2,051)
🇵🇱Kraków, Poland
3.4September 1, 2022
Small head. Amber colour. Aroma is flour, lemon peel, banana. Light bitterness. Very good.
BOTTLE
@ Delikatesy Kocyk Miodowa
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
4
Overall
17",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
5,"fistrin(866)
🇵🇱Lleida, Poland
3.8August 22, 2022
Clàssica weiss. Sempre un bon recurs en qualsevol supermercat. Especiada, plàtan, cereal. Cos mig, textura un pèl acuosa. Molt bona
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
6,"Max93600(296)
🇫🇷Marcheprime, France
4.0August 22, 2022
Un vrai régal. L’amertume est bien présente mais ce n’est que mieux. Parfait !
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
7,"DraftPupil66(448)
3.2August 15, 2022
0,5l bottle drinking at home 15/08/2022 Pours a hazy orangy gold with good amount of fluffy white foam on top and good lacing. Aroma of cloves, spices, banana, yeast. Taste is quite…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
8,"Susie33(2,275)
🇺🇸Staunton, United States
3.7August 8, 2022
Dark gold pour. Thick foam. Sweet spices and easy hops. Delicious  and easy drinking.  I'm so impressed with the freshness
TAP
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
9,"GriZZZly(648)
3.5August 6, 2022
Koncowka terminu:
Ar: Bardzo intensywne banany, drozdze, troche gozdziki, dobra intensywnosc, wzorowo.…
Show more
BOTTLE
Aroma
7
Appearance
5
Flavor
6
Mouthfeel
3
Overall
14",weissbier naturtrub,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,Spaten-Franziskaner-Bräu,"🇩🇪 München, Bavaria, Germany",Weissbier - Hefeweizen,5.0%,,3.73,Bottle: Unfiltered…,150 cal per 355ml
