,맥주,Aroma,Appearance,Flavor,Mouthfeel,Overall,맥주도수
0,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,7.0,3.8704761904761904,7.203809523809523,3.6304761904761906,14.620952380952382,5.0
525,Jeju Seongsan Ilchulbong Ale,6.0,3.3333333333333335,6.0,3.3333333333333335,13.333333333333334,5.1
528,Cass Fresh,3.3333333333333335,2.31,3.3666666666666667,2.04,6.446666666666666,4.5
828,Blue Moon Belgian White,5.735655152726235,3.2469312018270053,5.983157293748216,3.0927776191835568,12.07507850413931,5.4
4331,Egger Märzenbier,4.89,2.845,5.05,2.63,9.72,5.0
4531,Magners Juicy Apple,6.0,2.5,5.75,3.25,9.75,4.5
4535,Heretic Evil Twin,7.205263157894737,3.844736842105263,7.260526315789473,3.6184210526315788,14.860526315789473,6.799999999999998
4915,Suntory The Premium Malt's,4.956284153005464,2.9617486338797816,5.39344262295082,2.814207650273224,10.573770491803279,5.5
5098,Tiger Radler Lemon,4.090909090909091,2.4545454545454546,4.136363636363637,2.409090909090909,7.681818181818182,2.0
5120,Tsingtao Wheat Beer,5.696969696969697,3.0,5.484848484848484,2.5454545454545454,10.969696969696969,4.7
5153,Lapin Kulta IV A,4.180371352785146,2.697612732095491,4.416445623342175,2.4270557029177717,8.506631299734748,5.200000000000001
5530,Kloud Fitz Super Clear,3.769230769230769,2.3846153846153846,3.5,2.0384615384615383,7.384615384615385,4.5
5556,Stephans Bräu Premium Lager,3.888888888888889,2.6222222222222222,4.0,2.1333333333333333,7.7555555555555555,4.9
5601,Kronenbourg 1664 Blanc,5.594320486815416,3.185598377281947,5.410750507099391,2.8286004056795133,10.962474645030426,5.0
6587,Jeju Baengnokdam Ale,6.0,2.5714285714285716,6.142857142857143,2.4285714285714284,11.857142857142858,4.3
6594,Terra,4.0,2.566666666666667,4.1,2.2333333333333334,8.5,4.599999999999999
6624,Carlsberg Pilsner,4.059931506849315,2.6940639269406392,4.491438356164384,2.4937214611872145,8.939497716894977,4.6000000000000005
8376,Desperados Lime,4.092307692307692,2.4923076923076923,4.107692307692307,2.246153846153846,8.292307692307693,3.0
8441,Amazing First Love,7.428571428571429,3.7142857142857144,7.285714285714286,4.0,15.285714285714286,6.5
8448,Sapporo Yebisu,4.614942528735632,2.8419540229885056,4.9798850574712645,2.646551724137931,9.841954022988507,5.0
8796,Reeper B. Blondes Weissbier,5.666666666666667,3.466666666666667,5.133333333333334,2.6666666666666665,10.533333333333333,5.400000000000001
8811,Asahi Super Dry,4.070609002647838,2.737864077669903,4.458075904677846,2.5039717563989408,8.723742277140335,5.0
9944,Desperados Mojito,4.4,2.4615384615384617,4.153846153846154,2.0923076923076924,7.8,5.8999999999999995
10009,Erdinger Weissbier,5.919161676646707,3.563622754491018,6.205464071856287,3.241392215568862,12.677395209580839,5.3
12681,Peroni Nastro Azzurro,3.984578884934757,2.5444839857651247,4.3920521945432975,2.469750889679715,8.575919335705812,5.100000000000001
14367,Kozel Černý (Dark) 10°,5.7166513339466425,3.4719411223551058,5.875804967801288,3.0285188592456302,11.969641214351427,3.8000000000000003
15454,Grimbergen Cuvée Blanche,6.258715596330275,3.315596330275229,6.253211009174312,3.1137614678899084,12.521100917431193,6.0
15999,ARK Seoulite Ale,5.4,3.5,5.9,3.2,12.1,5.0
16009,Hoegaarden Cherry,6.0,3.6,5.4,3.8,11.0,4.9
16014,Guinness Original 4.2% (Ireland/UK),6.086378737541528,3.7823920265780733,6.308970099667774,3.200996677740864,12.830564784053156,4.200000000000001
16616,Platinum White Ale,7.0,4.0,9.0,5.0,16.0,5.4
16617,Jeju Wit Ale,5.588235294117647,3.235294117647059,5.9411764705882355,3.176470588235294,12.117647058823529,5.3
16634,Krombacher Weizen,6.162962962962963,3.577777777777778,6.148148148148148,3.140740740740741,12.362962962962962,5.299999999999999
17309,Grolsch Premium Lager,4.908376963350785,3.162303664921466,5.267015706806283,2.8795811518324608,10.515706806282722,5.0
17691,Somersby Pear Cider,3.696629213483146,1.9213483146067416,3.561797752808989,2.0112359550561796,6.044943820224719,4.700000000000001
17780,Hite Extra Cold,3.9555555555555557,2.688888888888889,4.177777777777778,2.511111111111111,8.088888888888889,4.300000000000002
17825,Erdinger Weissbier Dunkel,6.020317145688801,3.7071357779980176,6.297324083250743,3.2452923686818633,12.982160555004956,5.299999999999999
19843,Miller Genuine Draft (MGD),2.880672268907563,2.283613445378151,3.3327731092436976,2.0294117647058822,6.253361344537815,4.700000000000001
22223,Kabrew Hoptandu IPA,6.5,4.0,6.0,4.5,13.5,6.3
22225,Desperados,3.537853107344633,2.4293785310734464,3.533333333333333,2.048587570621469,6.47457627118644,5.9
23110,Kabrew Kumiho Relax Beer,5.5,3.0,4.0,2.5,6.0,4.2
23112,Paulaner Hefe-Weissbier,6.914524978342477,3.870921166618539,7.082298585041872,3.603234190008663,14.542593127346231,5.5
26575,Kona Big Wave Golden Ale,5.964940239043825,3.189641434262948,5.968127490039841,3.054183266932271,12.126693227091634,4.3999999999999995
27830,Squeeze Malpyo Green Grape Ale,5.0,3.0,4.0,2.0,9.0,4.0
27831,North Coast Old Rasputin Russian Imperial Stout,7.831271091113611,4.362204724409449,8.11304836895388,4.109673790776153,16.458942632170977,9.0
29609,ARK Brown,5.666666666666667,3.3333333333333335,5.666666666666667,3.0,12.0,4.3
29612,Pilsner Urquell,6.014907989750757,3.53109713487072,6.5583508036338225,3.3950617283950617,13.448171441882133,4.3999999999999995
33905,Amazing Shocking Stout,7.4375,3.875,7.3125,3.9375,15.1875,8.5
33921,Castlemaine XXXX Gold Lager,3.4702970297029703,2.613861386138614,3.8415841584158414,2.1881188118811883,7.435643564356436,3.5
34123,ARK Cony,7.5,4.0,6.5,3.0,13.5,4.5
34125,Kabrew Kumiho Peach Ale,6.0,2.5,5.75,2.25,11.0,4.5
34129,Somersby Apple Cider,4.614906832298137,2.5062111801242235,4.53416149068323,2.400621118012422,8.583850931677018,4.5
34451,Kabrew Namsan Mountain Premium Citra Ale,8.0,4.0,8.0,4.0,14.0,4.5
34452,ARK Yeosu Night Ale,7.0,3.0,7.0,3.0,13.5,5.0
34454,Apple Fox,5.0,2.8,5.0,2.6,9.6,4.5
34459,Harbin Beer,3.6966966966966965,2.4234234234234235,3.903903903903904,2.2732732732732734,7.681681681681682,4.799999999999999
34792,Hoegaarden Rosée,5.1768707482993195,2.9761904761904763,4.826530612244898,2.5935374149659864,9.627551020408163,3.0
35380,Stephans Bräu Hefe-Weizen Naturtrüb,5.233644859813084,3.0654205607476634,5.280373831775701,2.6542056074766354,10.299065420560748,5.299999999999998
35487,Volfas Engelman Grünberger Hefeweizen,6.411764705882353,3.235294117647059,6.176470588235294,3.0588235294117645,11.882352941176471,5.0
35504,Hollandia,4.021825396825397,2.638888888888889,4.295634920634921,2.4027777777777777,8.299603174603174,5.0
36008,Préaris Citra Sauvignon Session Ale,6.541666666666667,3.4166666666666665,6.708333333333333,3.2916666666666665,13.416666666666666,5.0
36032,Stella Artois,4.4664064678003905,2.9771396710342906,5.033454139949819,2.7557847783663227,10.169222191246167,5.0
39619,Schneider Weisse Tap 05 - Hopfenweisse Weizendoppelbock,7.613764766307139,3.8038007190549563,7.512583461736004,3.772984078068824,15.48638931689779,8.200000000000003
41566,ARK Black Swan,6.733333333333333,3.466666666666667,6.866666666666666,3.066666666666667,13.666666666666666,4.5
41581,Asahi Super Dry Black,4.875,3.308333333333333,5.15,2.7,10.55,5.5
41701,Kloud Original Gravity,4.336538461538462,2.9038461538461537,4.461538461538462,2.576923076923077,8.817307692307692,5.0
41805,Edelweiss Cherry & Lavender,4.0,3.5,4.5,3.5,6.5,4.5
41807,Guinness Draught,6.242023620659263,4.421646395205359,6.600211528291909,3.496562665256478,13.847347082672307,4.2
47480,Kabrew Kumiho India Pale Ale,6.333333333333333,3.0,6.666666666666667,3.0,12.333333333333334,6.3
47483,Holsten Premium Bier,4.4631336405529956,2.675115207373272,4.753456221198157,2.52073732718894,9.329493087557603,5.0
47917,Goose Island Goose IPA,6.882250174703005,3.5681341719077566,6.96366177498253,3.496156533892383,14.339972047519217,5.899999999999999
50779,Budweiser,2.6858316221765914,2.1254848277435547,3.0497376226329,1.8888888888888888,5.641113392653434,5.0
55162,Heineken,3.76875,2.653605769230769,4.284375,2.429326923076923,8.469471153846154,5.0
59322,Squeeze Malpyo Dark Beer,8.0,3.0,8.0,4.0,16.0,4.5
59323,Jeju Barrel Series-Imperial Stout Edition - Highland Park,9.5,4.5,9.5,4.5,19.0,13.5
59325,ARK Cosmic Dancer,7.133333333333334,3.4,6.466666666666667,3.3333333333333335,13.933333333333334,5.5
59340,Warsteiner Premium Verum,5.084004602991945,3.1185270425776754,5.383199079401611,2.8929804372842347,10.71921749136939,4.799999999999999
60209,Stephans Bräu Premium Pilsener,3.888888888888889,2.6031746031746033,4.174603174603175,2.3015873015873014,8.015873015873016,4.899999999999997
60272,Cass Lemon,3.8125,2.5,3.625,2.125,7.0625,3.9
60288,Tsingtao,3.7472035794183447,2.4165548098434004,4.099328859060403,2.338702460850112,7.993288590604027,5.0
62523,Platinum Pale Ale,5.666666666666667,3.0,5.777777777777778,3.0,11.88888888888889,4.6
62532,Heineken Dark Lager,4.930555555555555,3.1319444444444446,5.239583333333333,2.75,10.675347222222221,5.2
63108,OB Golden Lager,4.065217391304348,2.5869565217391304,4.0,2.3369565217391304,8.119565217391305,4.8
63200,The Hand and Malt Slow IPA,6.384615384615385,3.8461538461538463,6.615384615384615,3.3076923076923075,12.615384615384615,4.6000000000000005
63213,Edelweiss Weissbier Snowfresh,6.519886363636363,3.3295454545454546,6.482954545454546,3.2045454545454546,13.073863636363637,4.8999999999999995
63565,Lagunitas India Pale Ale (IPA),6.965014577259475,3.622934888241011,7.0641399416909625,3.5413022351797863,14.514091350826044,6.200000000000003
66652,San Miguel,3.6391752577319587,2.5463917525773194,3.8247422680412373,2.2216494845360826,7.649484536082475,4.799999999999999
66846,Desperados Red,3.5142857142857142,2.5028571428571427,3.422857142857143,2.0,6.428571428571429,6.0
67021,7Bräu Gompyo Wheatbeer,6.0,3.0,7.0,3.0,13.0,4.5
67022,Hite Prime Max,3.5258620689655173,2.4051724137931036,3.7844827586206895,2.1379310344827585,7.206896551724138,4.5
67138,HiteJinro Filite Fresh Cool & Clear,2.6666666666666665,1.6666666666666667,2.6666666666666665,1.6666666666666667,5.0,4.5
67141,Queen's Ale Blonde Type,6.375,3.375,5.875,3.25,11.5,5.4
67149,Red Rock,3.2,2.8666666666666667,3.6666666666666665,2.2666666666666666,6.4,5.0
67164,7Bräu Korea Pale Ale,6.461538461538462,3.1538461538461537,5.923076923076923,3.230769230769231,12.615384615384615,4.6000000000000005
67177,Goose Island 312 Urban Wheat Ale,5.316890080428954,3.0654155495978554,5.583378016085791,2.931367292225201,11.388739946380698,4.200000000000001
69042,Löwenbräu Original (4.2%),3.6666666666666665,2.111111111111111,3.814814814814815,2.037037037037037,7.555555555555555,4.200000000000001
69069,Kirin Ichiban,4.06399187404774,2.6729304215337737,4.3793803961401725,2.482478415439309,8.683087861858812,4.9
71038,OB Premier Pilsner,4.379310344827586,2.7586206896551726,4.4655172413793105,2.5689655172413794,8.293103448275861,5.199999999999999
71096,Jeju Pellong Ale,5.8,3.2,6.2,3.0,12.8,5.5
71101,Ballast Point Sculpin IPA,8.012626262626263,3.9426406926406927,8.012626262626263,3.9613997113997113,16.32034632034632,7.0
